[None, array([98., 95., 87.], dtype=float32), array([0.27099544, 0.2703065 , 0.2697327 ], dtype=float32), 75.40393, array(96., dtype=float32), 20.59607]
[None, array([98., 95., 87.], dtype=float32), array([0.27299348, 0.27229849, 0.27171996], dtype=float32), 75.96187, array(96., dtype=float32), 20.038132]
[None, array([98., 95., 87.], dtype=float32), array([0.2749915 , 0.27429047, 0.2737072 ], dtype=float32), 76.519806, array(96., dtype=float32), 19.480194]
[None, array([98., 95., 87.], dtype=float32), array([0.27698955, 0.27628246, 0.27569446], dtype=float32), 77.07774, array(96., dtype=float32), 18.922256]
[None, array([98., 95., 87.], dtype=float32), array([0.2789876 , 0.27827445, 0.2776817 ], dtype=float32), 77.63568, array(96., dtype=float32), 18.364319]
[None, array([98., 95., 87.], dtype=float32), array([0.28098562, 0.28026643, 0.27966896], dtype=float32), 78.19362, array(96., dtype=float32), 17.806381]
[None, array([98., 95., 87.], dtype=float32), array([0.28298366, 0.28225842, 0.2816562 ], dtype=float32), 78.75156, array(96., dtype=float32), 17.248444]
[None, array([98., 95., 87.], dtype=float32), array([0.2849817 , 0.2842504 , 0.28364345], dtype=float32), 79.309494, array(96., dtype=float32), 16.690506]
[None, array([98., 95., 87.], dtype=float32), array([0.28697973, 0.2862424 , 0.2856307 ], dtype=float32), 79.86743, array(96., dtype=float32), 16.132568]
[None, array([98., 95., 87.], dtype=float32), array([0.28897777, 0.28823438, 0.28761795], dtype=float32), 80.42536, array(96., dtype=float32), 15.574638]
[None, array([98., 95., 87.], dtype=float32), array([0.2909758 , 0.29022637, 0.2896052 ], dtype=float32), 80.9833, array(96., dtype=float32), 15.016701]
[None, array([98., 95., 87.], dtype=float32), array([0.29297385, 0.29221836, 0.29159245], dtype=float32), 81.54124, array(96., dtype=float32), 14.458763]
[None, array([98., 95., 87.], dtype=float32), array([0.29497188, 0.29421034, 0.2935797 ], dtype=float32), 82.09918, array(96., dtype=float32), 13.900818]
[None, array([98., 95., 87.], dtype=float32), array([0.29696992, 0.29620233, 0.29556695], dtype=float32), 82.65712, array(96., dtype=float32), 13.34288]
[None, array([98., 95., 87.], dtype=float32), array([0.29896796, 0.29819432, 0.2975542 ], dtype=float32), 83.21505, array(96., dtype=float32), 12.78495]
[None, array([98., 95., 87.], dtype=float32), array([0.300966  , 0.3001863 , 0.29954144], dtype=float32), 83.77299, array(96., dtype=float32), 12.227013]
[None, array([98., 95., 87.], dtype=float32), array([0.30296403, 0.3021783 , 0.3015287 ], dtype=float32), 84.330925, array(96., dtype=float32), 11.669075]
[None, array([98., 95., 87.], dtype=float32), array([0.30496207, 0.30417028, 0.30351594], dtype=float32), 84.88886, array(96., dtype=float32), 11.111137]
[None, array([98., 95., 87.], dtype=float32), array([0.3069601 , 0.30616227, 0.3055032 ], dtype=float32), 85.4468, array(96., dtype=float32), 10.5532]
[None, array([98., 95., 87.], dtype=float32), array([0.30895814, 0.30815426, 0.30749044], dtype=float32), 86.00474, array(96., dtype=float32), 9.995262]
[None, array([98., 95., 87.], dtype=float32), array([0.31095618, 0.31014624, 0.3094777 ], dtype=float32), 86.56267, array(96., dtype=float32), 9.437332]
[None, array([98., 95., 87.], dtype=float32), array([0.31295422, 0.31213823, 0.31146494], dtype=float32), 87.120605, array(96., dtype=float32), 8.879395]
[None, array([98., 95., 87.], dtype=float32), array([0.31495225, 0.31413022, 0.31345218], dtype=float32), 87.67855, array(96., dtype=float32), 8.321449]
[None, array([98., 95., 87.], dtype=float32), array([0.3169503 , 0.3161222 , 0.31543943], dtype=float32), 88.23649, array(96., dtype=float32), 7.7635117]
[None, array([98., 95., 87.], dtype=float32), array([0.31894833, 0.3181142 , 0.31742668], dtype=float32), 88.79442, array(96., dtype=float32), 7.2055817]
[None, array([98., 95., 87.], dtype=float32), array([0.32094637, 0.32010618, 0.31941393], dtype=float32), 89.352356, array(96., dtype=float32), 6.647644]
[None, array([98., 95., 87.], dtype=float32), array([0.3229444 , 0.32209817, 0.32140118], dtype=float32), 89.91029, array(96., dtype=float32), 6.0897064]
[None, array([98., 95., 87.], dtype=float32), array([0.32494244, 0.32409015, 0.32338843], dtype=float32), 90.46823, array(96., dtype=float32), 5.531769]
[None, array([98., 95., 87.], dtype=float32), array([0.32694048, 0.32608214, 0.32537568], dtype=float32), 91.02617, array(96., dtype=float32), 4.973831]
[None, array([98., 95., 87.], dtype=float32), array([0.3289385 , 0.32807413, 0.32736292], dtype=float32), 91.58411, array(96., dtype=float32), 4.4158936]
[None, array([98., 95., 87.], dtype=float32), array([0.33093655, 0.3300661 , 0.32935017], dtype=float32), 92.142044, array(96., dtype=float32), 3.857956]
[None, array([98., 95., 87.], dtype=float32), array([0.3329346 , 0.3320581 , 0.33133742], dtype=float32), 92.69998, array(96., dtype=float32), 3.3000183]
[None, array([98., 95., 87.], dtype=float32), array([0.33493263, 0.3340501 , 0.33332467], dtype=float32), 93.25792, array(96., dtype=float32), 2.7420807]
[None, array([98., 95., 87.], dtype=float32), array([0.33693066, 0.33604208, 0.33531192], dtype=float32), 93.81586, array(96., dtype=float32), 2.184143]
[None, array([98., 95., 87.], dtype=float32), array([0.3389287 , 0.33803406, 0.33729917], dtype=float32), 94.37379, array(96., dtype=float32), 1.6262131]
[None, array([98., 95., 87.], dtype=float32), array([0.34092674, 0.34002605, 0.33928642], dtype=float32), 94.931725, array(96., dtype=float32), 1.0682755]
[None, array([98., 95., 87.], dtype=float32), array([0.34292477, 0.34201804, 0.34127367], dtype=float32), 95.48966, array(96., dtype=float32), 0.5103378]
[None, array([98., 95., 87.], dtype=float32), array([0.34284422, 0.34185615, 0.34106955], dtype=float32), 96.04761, array(96., dtype=float32), 0.047607422]
[None, array([98., 95., 87.], dtype=float32), array([0.34276366, 0.34169427, 0.34086543], dtype=float32), 96.00657, array(96., dtype=float32), 0.0065689087]
[None, array([98., 95., 87.], dtype=float32), array([0.3447617 , 0.34368625, 0.34285268], dtype=float32), 95.96554, array(96., dtype=float32), 0.034461975]
[None, array([98., 95., 87.], dtype=float32), array([0.34468114, 0.34352437, 0.34264857], dtype=float32), 96.52348, array(96., dtype=float32), 0.5234833]
[None, array([98., 95., 87.], dtype=float32), array([0.3446006 , 0.34336248, 0.34244445], dtype=float32), 96.482445, array(96., dtype=float32), 0.48244476]
[None, array([98., 95., 87.], dtype=float32), array([0.34452003, 0.3432006 , 0.34224033], dtype=float32), 96.441414, array(96., dtype=float32), 0.44141388]
[None, array([98., 95., 87.], dtype=float32), array([0.34443948, 0.3430387 , 0.34203622], dtype=float32), 96.40038, array(96., dtype=float32), 0.400383]
[None, array([98., 95., 87.], dtype=float32), array([0.34435892, 0.34287682, 0.3418321 ], dtype=float32), 96.359344, array(96., dtype=float32), 0.35934448]
[None, array([98., 95., 87.], dtype=float32), array([0.34427837, 0.34271494, 0.341628  ], dtype=float32), 96.31831, array(96., dtype=float32), 0.3183136]
[None, array([98., 95., 87.], dtype=float32), array([0.3441978 , 0.34255305, 0.34142387], dtype=float32), 96.27729, array(96., dtype=float32), 0.27729034]
[None, array([98., 95., 87.], dtype=float32), array([0.34411725, 0.34239116, 0.34121975], dtype=float32), 96.23625, array(96., dtype=float32), 0.23625183]
[None, array([98., 95., 87.], dtype=float32), array([0.3440367 , 0.34222928, 0.34101564], dtype=float32), 96.19522, array(96., dtype=float32), 0.19522095]
[None, array([98., 95., 87.], dtype=float32), array([0.34395614, 0.3420674 , 0.34081152], dtype=float32), 96.15419, array(96., dtype=float32), 0.15419006]
[None, array([98., 95., 87.], dtype=float32), array([0.3438756, 0.3419055, 0.3406074], dtype=float32), 96.11316, array(96., dtype=float32), 0.11315918]
[None, array([98., 95., 87.], dtype=float32), array([0.34379503, 0.34174362, 0.3404033 ], dtype=float32), 96.07212, array(96., dtype=float32), 0.07212067]
[None, array([98., 95., 87.], dtype=float32), array([0.34371448, 0.34158173, 0.34019917], dtype=float32), 96.03109, array(96., dtype=float32), 0.031089783]
[None, array([98., 95., 87.], dtype=float32), array([0.3457125 , 0.34357372, 0.34218642], dtype=float32), 95.99007, array(96., dtype=float32), 0.009933472]
[None, array([98., 95., 87.], dtype=float32), array([0.34563196, 0.34341183, 0.3419823 ], dtype=float32), 96.548, array(96., dtype=float32), 0.5479965]
[None, array([98., 95., 87.], dtype=float32), array([0.3455514 , 0.34324995, 0.3417782 ], dtype=float32), 96.506966, array(96., dtype=float32), 0.50696564]
